,ERed
708,1.54
709,1.04
710,1.16
711,1.31
712,1.35
713,1.51
714,1.52
715,1.37
716,1.33
717,1.49
718,1.53
719,1.47
720,1.33
721,1.36
722,1.53
723,1.45
724,1.5
725,1.38
726,1.14
727,1.42
728,1.27
729,1.52
730,1.27
731,1.38
732,1.57
733,1.45
734,1.42
735,1.24
736,1.62
737,1.14
738,1.34
739,1.41
740,1.54
741,1.15
742,1.47
743,1.15
744,1.3
745,1.6
746,1.23
747,1.55
748,1.09
749,1.28
750,1.23
751,1.19
752,1.52
753,1.1
754,1.53
755,1.57
756,1.07
757,1.05
758,1.57
759,1.31
760,1.45
761,1.11
762,1.46
763,1.09
764,0.96
765,1.25
766,1.22
767,1.29
768,1.19
769,1.18
770,1.64
771,1.18
772,1.25
773,1.34
774,1.35
775,1.26
776,1.41
777,1.41
778,1.06
779,1.3
780,1.32
781,1.47
782,1.46
783,1.66
784,1.19
785,1.34
786,1.18
787,1.0
788,1.17
789,1.27
790,1.19
791,1.4
792,1.7
793,1.28
794,1.31
795,1.45
796,1.33
797,1.29
798,1.49
799,1.2
800,1.12
801,1.23
802,1.44
803,1.39
804,1.45
805,1.36
806,1.06
807,1.08
808,1.25
809,1.53
810,1.01
811,1.66
812,1.35
813,1.25
814,1.78
815,1.22
816,1.48
817,1.19
818,1.38
819,1.4
820,1.19
821,1.16
822,1.29
823,1.19
824,1.24
825,1.11
826,1.41
827,1.55
828,1.41
829,1.18
830,1.09
831,1.55
832,1.39
833,0.97
834,1.29
835,1.48
836,1.22
837,1.67
838,1.07
839,1.47
840,1.59
841,1.37
842,1.25
843,1.39
844,1.59
845,1.24
846,1.5
847,1.62
848,1.09
849,1.35
850,1.42
851,1.29
852,1.36
853,1.45
854,1.5
855,1.47
856,1.34
857,1.44
858,1.47
859,1.14
860,1.33
861,1.48
862,1.48
863,1.11
864,1.58
865,1.37
866,1.41
867,1.48
868,1.44
869,1.18
870,1.29
871,1.61
872,1.33
873,1.53
874,1.35
875,1.35
876,1.26
877,1.63
878,1.19
879,1.41
880,1.48
881,1.07
882,1.39
883,1.38
884,1.26
885,1.64
886,1.16
887,1.32
888,1.52
889,1.11
890,1.45
891,1.44
892,1.46
893,1.09
894,1.07
895,1.14
896,1.23
897,1.16
898,1.53
899,1.37
900,1.39
901,1.42
902,1.41
903,1.35
904,1.24
905,1.49
906,1.41
907,1.22
908,1.18
909,1.43
910,1.26
911,1.56
912,1.24
913,1.1
914,1.5
915,1.17
916,1.17
917,1.58
918,1.06
919,1.14
920,1.64
921,1.18
922,1.59
923,1.28
924,1.3
925,1.48
926,1.15
927,1.47
928,1.45
929,1.21
930,1.45
931,1.62
932,1.17
933,1.14
934,1.24
935,1.02
936,1.61
937,1.4
938,1.48
939,1.42
940,1.32
941,1.55
942,1.34
943,1.33
944,1.52
945,1.19
946,1.36
947,1.02
948,1.62
949,1.16
950,1.6
951,1.1
952,1.46
953,1.74
954,1.2
955,1.23
956,1.38
957,1.2
958,1.29
959,1.4
960,1.25
961,1.28
962,1.43
963,1.31
964,1.22
965,1.2
966,1.43
967,1.5
968,1.57
969,1.24
970,1.08
971,1.42
972,1.6
973,1.68
974,1.33
975,1.7
976,1.46
977,1.39
978,1.64
979,1.1
980,1.2
981,1.05
982,1.45
983,1.62
984,1.06
985,1.41
986,1.37
987,1.14
988,1.55
989,1.15
990,1.4
991,1.43
992,1.39
993,1.33
994,1.21
995,1.7
996,1.51
997,1.16
998,1.32
999,1.46
1000,1.43
1001,1.54
1002,1.49
1003,1.14
1004,1.45
1005,1.21
1006,1.42
1007,1.31
1008,1.43
1009,1.6
1010,1.4
1011,1.39
1012,1.14
1013,1.2
1014,1.2
1015,1.37
1016,1.21
1017,1.34
1018,1.48
1019,1.13
1020,1.39
1021,1.12
1022,1.35
1023,1.44
1024,1.23
1025,1.36
1026,1.51
1027,1.23
1028,1.04
1029,1.2
1030,1.31
1031,1.19
1032,1.45
1033,1.34
1034,1.21
1035,1.36
1036,1.57
1037,1.49
1038,1.23
1039,1.03
1040,1.36
1041,1.42
1042,1.11
1043,1.47
1044,1.48
1045,1.05
1046,1.15
1047,1.58
1048,1.63
1049,1.2
1050,1.23
1051,1.49
1052,1.34
1053,1.43
1054,1.39
1055,1.1
1056,1.74
1057,1.53
1058,1.47
1059,1.39
1060,1.41
1061,1.41
1062,1.21
1063,1.33
1064,1.33
1065,1.3
1066,1.18
1067,1.56
1068,1.58
1069,1.07
1070,1.13
1071,1.17
1072,1.49
1073,1.48
1074,1.09
1075,1.46
1076,1.4
1077,1.44
1078,1.5
1079,1.22
