,SMILES,ERed
180,CCc1c2c(c(N(C)C)c3nsnc13)OCC(C(C)C)O2,1.37
181,COCCc1c2c(cc3nsnc13)OC(C(C)C)C(C)O2,1.57
182,CCCCc1c2c(cc3nsnc13)N(CC(C)C)CCN2C,1.12
183,CCCN1CN(CC)c2c1c(NCC)c1nsnc1c2NC,1.22
184,COCCN1CCN(C)c2cc3nsnc3c(C)c21,1.21
185,CCCc1c2c(c(CC)c3nsnc13)OCC(C(C)C)O2,1.45
186,CCOc1c2c(c(CCOC)c3nsnc13)OC(C)CO2,1.44
187,CCCN1CN(C)c2c1c(OC)c1nsnc1c2CC,1.17
188,CCC1COc2cc3nsnc3c(C(C)C)c2O1,1.44
189,COc1cc2nsnc2c(C(C)C)c1OC,1.45
190,Cc1cc2nsnc2c2c1OC(C(C)C)CO2,1.49
191,CCC(C)OCCC1COc2cc3nsnc3cc2O1,1.6
192,CCN1CN(CC)c2c1cc1nsnc1c2OCCOC,1.16
193,CCCC1COc2c(c(CC)c3nsnc3c2C(C)C)O1,1.33
194,Cc1c2c(cc3nsnc13)OCC(CC(C)C)O2,1.49
195,CCC1COc2c(c(N(C)CC)c3nsnc3c2C)O1,1.44
196,CCCN1CN(C)c2c1c(C)c1nsnc1c2OC(C)=O,1.3
197,CC(C)CN1CN(C)c2cc3nsnc3c(OC(C)C)c21,1.19
198,CNc1c2c(c(N(C)CC(C)C)c3nsnc13)C1CCC2CC1,1.36
199,COc1c2c(cc3nsnc13)C1CCC2C1,1.49
200,CC/C([O-])=[N+](\c1c2c(cc3nsnc13)N(C)CN2C)C(C)C,1.27
201,CCCCN1CCN(CC)c2cc3nsnc3c(NC)c21,1.36
202,COc1c2c(cc3nsnc13)N(C)CCN2C,1.36
203,CCC1Oc2c(c(C)c3nsnc3c2/[NH+]=C(\C)[O-])OC1C,1.43
204,CCCN1CCN(CC)c2c1cc1nsnc1c2CC,1.26
205,CCCOc1c2c(c(C)c3nsnc13)OC(C)CO2,1.5
206,Cc1cc2nsnc2c2c1OCC2(C)C,1.5
207,COCCN(C)c1cc(C)c2nsnc2c1,1.4
208,CCc1c2c(c(OCC(C)C)c3nsnc13)OCC(C)O2,1.43
209,CCN(C)CCN1CN(CC)c2cc3nsnc3cc21,1.04
210,CCC1COc2c(cc3nsnc3c2OC(C)=O)O1,1.67
211,CCc1c2c(c(N(C)C)c3nsnc13)OC(CC(C)C)CO2,1.43
212,COc1c2c(c(/[NH+]=C(\C)[O-])c3nsnc13)OCC(C)O2,1.68
213,CCCOc1ccc(CC)c2nsnc12,1.54
214,CCC(C)c1c2c(c(C)c3nsnc13)N(C(C)C)CN2C,1.19
215,CCc1c(N(C)C)c(N(C)C(C)C)c(OC)c2nsnc12,1.55
216,CN(C)c1c2c(cc3nsnc13)OCCO2,1.47
217,CCCCOc1cc(CC)c2nsnc2c1,1.52
218,CCCc1c2c(c(CCC)c3nsnc13)OCCO2,1.39
219,CCc1c2c(c(OC)c3nsnc13)OC(C(C)C)C(C)O2,1.51
220,CCc1c2c(cc3nsnc13)N(C)CN2C(C)C,1.08
221,CCCCc1c(OC)cc2nsnc2c1C,1.47
222,CCN1CN(CC)c2c1c(C)c1nsnc1c2OC,1.2
223,CCC(C)c1c2c(c(C)c3nsnc13)N(CC)CN2C,1.19
224,Cc1c2c(cc3nsnc13)N(C)CN2CC(C)C,1.07
225,CCOCCN(CC)c1c2c(cc3nsnc13)OCCO2,1.49
226,COc1c2c(c(C)c3nsnc13)C1CCC2C1,1.44
227,CCCN(C)c1c2c(c3nsnc3c1NC(C)C)NCC2,1.41
228,CCc1c2c(cc3nsnc13)OC(C(C)CC)C(C)O2,1.53
229,COCCN1CN(C)c2cc3nsnc3c(OC)c21,1.14
230,CCc1c(N)c(N)c(C)c2nsnc12,1.2
231,CC1COc2c(c(N(C)C(C)C)c3nsnc3c2C(C)C)O1,1.36
232,CCOCCN1CCN(C)c2cc3nsnc3c(CC)c21,1.3
233,CCCc1c(C)c(CC)cc2nsnc12,1.49
234,CCCN(C)c1c2c(c(CC)c3nsnc13)OC(CC)CO2,1.41
235,Cc1c2c(c(N(C)C)c3nsnc13)OCCO2,1.42
236,CCOc1c2c(cc3nsnc13)OC(C)C(C)O2,1.48
237,C/C([O-])=[NH+]\c1c2c(c(OC(C)C)c3nsnc13)OCCO2,1.67
238,CCOc1c2c(cc3nsnc13)OCC(CC(C)C)O2,1.48
239,Cc1c2c(c(CC(C)C)c3nsnc13)N(C)CN2CC(C)C,1.09
240,CCCC1Oc2c(cc3nsnc3c2CC)OC1CC,1.47
241,CNc1c(N(C)C)c(OC)cc2nsnc12,1.21
242,CC/C([O-])=[NH+]\c1c2c(c(C)c3nsnc13)N(C)CN2C,1.33
243,CN1CCOCc2ccc3nsnc3c21,1.59
244,CCC(C)c1c2c(c(C(C)C)c3nsnc13)OCC(C)O2,1.28
245,CC1Oc2cc3nsnc3c(N(C)C(C)C)c2OC1C,1.41
246,CCN(c1c2c(cc3nsnc13)OC(C(C)C)CO2)C(C)C,1.42
247,CCCN1CCN(C)c2c1cc1nsnc1c2/[N+](C)=C(\C)[O-],1.35
248,CCCc1c2c(cc3nsnc13)C(CC)CO2,1.42
249,CC(C)Oc1c2c(cc3nsnc13)OC(C)C(C)O2,1.42
250,CCOc1c2c(cc3nsnc13)N(CC)CN2C(C)CC,1.14
251,CCC(C)N1CCN(C)c2cc3nsnc3c(N(C)C)c21,1.15
252,CCOc1c2c(cc3nsnc13)N(C)CCN2C,1.3
253,CCCC1Oc2c(c(CC)c3nsnc3c2C)OC1CC,1.36
254,CCNc1c(NC)c(OC)c2nsnc2c1CC(C)C,1.31
255,CCCCN1CCN(C)c2cc3nsnc3c(NC)c21,1.22
256,CCCc1c2c(cc3nsnc13)N(CC)CCN2C(C)CC,0.95
257,COc1c2c(cc3nsnc13)N(CC(C)C)C(OC)N2C,1.18
258,CCC(C)N1CCN(CCOC)c2cc3nsnc3c(C)c21,1.11
259,CCCc1c2c(c(OC)c3nsnc13)N(C)CN2C,1.18
260,CCN1CN(C)c2c1c(C(C)C)c1nsnc1c2/[NH+]=C(\C)[O-],1.33
261,CCCC1COc2cc3nsnc3c(CCOC)c2O1,1.48
262,CC(C)c1c2c(cc3nsnc13)C1CCC2CC1,1.43
263,COCCc1ccc2nsnc2c1OC,1.7
264,CC/C([O-])=[NH+]\c1c2c(cc3nsnc13)CCC2,1.68
265,COCCN1CCN(C)c2c1cc1nsnc1c2N(C)C,1.26
266,CCCc1c2c(c(C(C)C)c3nsnc13)OCCO2,1.39
267,Cc1ccc2nsnc2c1OCC(C)C,1.53
268,CC(C)COc1c2c(cc3nsnc13)N(C)CN2CC(C)C,1.15
269,CCN1CN(C)c2c1c(/[NH+]=C(\C)[O-])c1nsnc1c2OC,1.26
270,CCCc1c2c(cc3nsnc13)N(CC)CN2CCN(C)C,1.08
271,CCCN1c2cc3nsnc3c(OC)c2N(CC)C1OC,1.18
272,CCc1c2c(c(C)c3nsnc13)OC(CC)C(C(C)C)O2,1.29
273,CCC(C)c1c2c(c(OC(C)C)c3nsnc13)OCCO2,1.31
274,CCc1c2c(c(/[N+](C)=C(\C)[O-])c3nsnc13)OC(C)CO2,1.6
275,CCC(C)N1CCN(C(C)C)c2cc3nsnc3c(OC)c21,1.33
276,CN(C)CCOCCN1CCN(C)c2cc3nsnc3cc21,1.22
277,CCc1cc(OC(C)CC)c2nsnc2c1,1.58
278,CC/C([O-])=[N+](/C)c1cccc2nsnc12,1.87
279,Cc1c2c(cc3nsnc13)N(C(C)C)CN2C,1.13
280,CCCOCCc1c2c(c(C)c3nsnc13)C1CCC2CC1,1.48
281,CCCCNc1c(NC)c(OCC)c2nsnc2c1NC,1.44
282,CCc1cc2nsnc2c(OC)c1OC,1.63
283,CCC(C)N1CN(C)c2cc3nsnc3c(OC(C)=O)c21,1.26
284,CCN1c2c(cc3nsnc3c2OC)N(C)C1OC(C)C,1.25
285,CCC(C)c1c2c(cc3nsnc13)OC(C(C)CC)C(C)O2,1.38
286,CCCOc1c(C)cc2nsnc2c1OC,1.63
287,CCOc1c2c(c(CC)c3nsnc13)N(C)CN2C,1.17
288,CCN1CN(C)c2cc3nsnc3c(OCC(C)C)c21,1.14
289,CCOCCc1c2c(c(C)c3nsnc13)OC(CC)CO2,1.37
290,CCCN1CN(C)c2c1cc1nsnc1c2C,1.12
291,C/C([O-])=[NH+]\c1c2c(cc3nsnc13)N(C(C)C)CN2C(C)C,1.23
292,CCOc1c2c(cc3nsnc13)OC(CC)CO2,1.59
293,CCCN(C)c1c2c(c(C(C)C)c3nsnc13)C1CCC2CC1,1.33
294,CNc1c2c(c(C)c3nsnc13)OC(C)C(C)O2,1.44
295,CCN(C)c1c2c(c(C)c3nsnc13)OCC(C(C)C)O2,1.55
296,CCCNc1c2c(c(C)c3nsnc13)N(C)CN2C,1.27
297,CCNc1c(N(C)C)ccc2nsnc12,1.56
298,CCCN1CN(CC)c2cc3nsnc3c(OCC)c21,1.14
299,CCOc1c2c(c(OCCOC)c3nsnc13)OCCO2,1.58
300,CCCc1c2c(c(OC(C)=O)c3nsnc13)C1CCC2CC1,1.52
301,CCCNc1ccc(OC)c2nsnc12,1.39
302,CCCC/[N+](=C(/C)[O-])c1c2c(cc3nsnc13)N(C)CN2C,1.24
303,CC1Oc2c(c3c(c4nsnc24)CCO3)C1C,1.52
304,CCCCC1COc2c(c(OC)c3nsnc3c2OC)O1,1.45
305,CCOc1c2c(c(OC(=O)CC)c3nsnc13)OCCO2,1.68
306,CCOC1N(C)c2cc3nsnc3c(CC)c2N1C,1.11
307,CC1CCOc2cc3nsnc3cc21,1.58
308,CCCc1c2c(cc3nsnc13)OC(C(C)CC)C(C)O2,1.42
309,COc1cc2nsnc2cc1OC(C)C,1.6
310,CCCC1COc2c(c(C)c3nsnc3c2N(CC)CC)O1,1.41
311,CCCN1CN(CC)c2cc3nsnc3c(OC)c21,1.14
312,CCCCc1c2c(cc3nsnc13)N(C(C)C)CCN2C,1.2
313,CC1CNc2c(ccc3nsnc23)C1,1.48
314,CC(=O)Oc1c2c(cc3nsnc13)N(C)CN2CC(C)C,1.25
315,Cc1cc(C(C)C)c2nsnc2c1C,1.5
316,CCCCc1c2c(c(N(C)C(C)C)c3nsnc13)OCCO2,1.31
317,CCCOCCN1CN(CC)c2cc3nsnc3cc21,1.05
318,CCCN1CCN(C(C)C)c2cc3nsnc3c(C)c21,1.19
319,CCC1Oc2cc3nsnc3c(N(C)CC(C)C)c2OC1C,1.19
320,Cc1c2c(c(OC(C)C)c3nsnc13)N(C)CCN2C,1.37
321,CC(C)Cc1c2c(c(N(C)C)c3nsnc13)C1CCC2CC1,1.36
322,CC(C)N1CCN(C)c2ccc3nsnc3c21,1.32
323,CC(C)CN(C)c1c2c(cc3nsnc13)N(C)CCN2C,1.18
324,COC1N(C)c2c(cc3nsnc3c2C(C)C)N1CC(C)C,1.12
325,CCc1c2c(c(OC)c3nsnc13)N(CC)CN2CC,1.1
326,COc1c(N(C)OC)c(N(C)OC)c(OC)c2nsnc12,1.8
327,CCN(C)c1c(N(C)C)c(OC)c2nsnc2c1OC,1.45
328,CCCCc1c2c(cc3nsnc13)OCC(CC)O2,1.42
329,CCC(C)N1c2cc3nsnc3cc2N(C)C1OC,1.12
