SMILES,ERed,MolWT,NValE,MolLogP
CNc1c(C)c(OC(C)C)cc2nsnc12,1.36,237.09,86,2.83
CCCCN1CN(C(C)CC)c2cc3nsnc3cc21,0.78,290.16,108,3.87
CC(C)OC1N(C)c2cc3nsnc3cc2N1C(C)C,1.11,292.14,108,3.06
CCC(C)N1CN(CC)c2c1cc1nsnc1c2NC,1.29,291.15,108,3.14
CCC(C)N1c2cc3nsnc3cc2N(CC)C1OC,1.15,292.14,108,3.07
COc1cc2nsnc2c2c1OCCCC2,1.61,236.06,84,2.42
CCCN1CN(CC)c2cc3nsnc3cc21,1.03,248.11,90,2.71
CCOc1cc2nsnc2cc1OCC,1.53,224.06,80,2.49
CCOc1cc(N(C)C)c2nsnc2c1,1.22,223.08,80,2.16
CC1Cc2c(c3c(c4nsnc24)NCCC3)O1,1.36,247.08,88,2.37
COc1cc2nsnc2c2c1OC(C)CC2,1.36,236.06,84,2.41
CCCCN1CN(C)c2c1cc1nsnc1c2NCC,1.0,291.15,108,3.14
CCNc1c2c(cc3nsnc13)N(C)CCN2C(C)CC,1.18,305.17,114,3.18
CCNc1c(C)c(OC)cc2nsnc12,1.58,223.08,80,2.44
Cc1cc2nsnc2c2c1C(C)CCN2,1.32,219.08,78,2.92
CCC(C)N1CN(C)c2c1cc1nsnc1c2NC,1.2,277.14,102,2.75
CCOc1cc2nsnc2c(NC)c1C,1.32,223.08,80,2.44
CCC(C)N1CN(CC)c2cc3nsnc3c(NC)c21,1.38,291.15,108,3.14
CCN1CN(CC(C)C)c2cc3nsnc3cc21,1.14,262.13,96,2.95
CCCN1CN(C)c2c1cc1nsnc1c2NC(C)C,1.22,291.15,108,3.14
CCCCN1c2cc3nsnc3cc2N(CC)C1OC,1.1,292.14,108,3.07
Cc1cc2nsnc2c2c1CCC(C)N2,1.48,219.08,78,2.75
COc1cc2nsnc2c2c1CC(C)CN2,1.29,235.08,84,2.3
CCN1CN(C(C)C)c2cc3nsnc3cc21,1.05,248.11,90,2.7
COc1cc2nsnc2cc1OCC(C)C,1.37,238.08,86,2.73
CNc1c2c(cc3nsnc13)N(CC(C)C)CN2C,1.24,277.14,102,2.6
CCOCCN1CCN(C)c2cc3nsnc3c(CC)c21,1.3,306.15,114,2.55
CCCN1CCN(C(C)C)c2cc3nsnc3c(OC)c21,1.42,306.15,114,3.14
CCNc1cc(OCC(C)C)cc2nsnc12,1.37,251.11,92,3.16
CCOC1N(C)c2cc3nsnc3cc2N1CC,1.14,264.1,96,2.29
CCNc1cc(OCC)cc2nsnc12,1.43,223.08,80,2.52
CNc1c(N(C)C)c(OC)cc2nsnc12,1.21,238.09,86,1.81
CCCOc1cc2nsnc2c(NC)c1C,1.36,237.09,86,2.83
CC(C)CN1CN(C(C)C)c2cc3nsnc3cc21,1.03,276.14,102,3.34
CCN1c2cc3nsnc3c(C)c2N(CC)C1OC,1.16,278.12,102,2.6
CCc1c2c(cc3nsnc13)N(CC)CN2C(C)C,1.08,276.14,102,3.27
CCC1Oc2c(cc3nsnc3c2N(C)C)OC1C,1.44,279.1,102,2.7
CCCCN1CN(C(C)C)c2cc3nsnc3cc21,1.13,276.14,102,3.48
CCN1CN(CC(C)C)c2c1cc1nsnc1c2NC,1.24,291.15,108,2.99
CCc1c2c(cc3nsnc13)N(CC(C)C)CN2CC,1.2,290.16,108,3.51
CCCCN1CCN(C)c2c1c(C)c1nsnc1c2NC,1.52,305.17,114,3.1
CCN(CC)c1c2c(cc3nsnc13)OCC(C)O2,1.53,279.1,102,2.7
C1CNc2c(c3c(c4nsnc24)CCO3)C1,1.37,233.06,82,1.98
CCN1CCN(C)c2c1c(NC)c1nsnc1c2C,1.27,277.14,102,2.32
CCCCN1CN(CC)c2c1cc1nsnc1c2C,1.14,276.14,102,3.4
COC1N(C)c2c(cc3nsnc3c2C)N1C(C)C,1.21,278.12,102,2.59
CCNc1c2c(c(C)c3nsnc13)N(CC)CCN2C,1.28,291.15,108,2.71
CCCc1c2c(cc3nsnc13)N(CCC)CN2CC,1.04,290.16,108,3.66
CCN1CN(C)c2c1c(C)c1nsnc1c2NC,1.17,263.12,96,2.28
CCN1c2cc3nsnc3cc2N(C)C1OC(C)C,1.14,278.12,102,2.68
CCc1c2c(cc3nsnc13)N(CC)C(OC)N2C,1.14,278.12,102,2.46
CCOc1cc(NCC(C)C)c2nsnc2c1,1.45,251.11,92,3.16
CCc1c2c(c(NC)c3nsnc13)N(C)CCN2CC,1.36,291.15,108,2.57
CCCCN1CN(C(C)C)c2c1cc1nsnc1c2C,1.01,290.16,108,3.79
CNc1c2c(c(C)c3nsnc13)N(C)CCN2C(C)C,1.26,291.15,108,2.71
CCOC1N(C)c2cc3nsnc3c(NC)c2N1C,1.14,279.12,102,1.94
COc1cc2nsnc2c(NC(C)C)c1C,1.07,237.09,86,2.83
CNc1c(C(C)C)c(OC)cc2nsnc12,1.34,237.09,86,2.87
CNc1c2c(c(C)c3nsnc13)N(C(C)C)CN2C,1.2,277.14,102,2.66
CC1CCNc2c1c1c(c3nsnc23)CCO1,1.32,247.08,88,2.55
CCNc1cc(OC)cc2nsnc12,1.51,209.06,74,2.13
CCCc1c2c(cc3nsnc13)N(C(C)C)CN2CC,1.14,290.16,108,3.66
COc1c2c(cc3nsnc13)N(C(C)C)CCN2C,1.26,278.12,102,2.36
CCC(C)N1CCN(C)c2c1c(NC)c1nsnc1c2C,1.26,305.17,114,3.1
Cc1c2c(cc3nsnc13)N(C(C)C)CN2C(C)C,0.95,276.14,102,3.4
CCNc1c2c(cc3nsnc13)OCCC2,1.44,235.08,84,2.45
CCCc1c(OC)cc2nsnc2c1NC,1.38,237.09,86,2.69
CNc1c2c(cc3nsnc13)N(C)CN2CC(C)C,0.9,277.14,102,2.6
CCc1c2c(cc3nsnc13)N(C(C)CC)CN2C,1.0,276.14,102,3.27
CCc1c2c(c(C)c3nsnc13)N(CC)CN2CC,1.07,276.14,102,3.19
CCc1c2c(cc3nsnc13)N(CC)CN2CC,1.11,262.13,96,2.88
CCCNc1c2c(cc3nsnc13)OCCC2,1.45,249.09,90,2.84
CCC(C)N1CN(CC)c2cc3nsnc3c(C)c21,1.13,276.14,102,3.4
CCOc1cc(NC(C)C)c2nsnc2c1,1.59,237.09,86,2.91
COc1cc2nsnc2c2c1CCCCN2,1.42,235.08,84,2.45
CCNc1c(CC)c(C)cc2nsnc12,1.49,221.1,80,2.99
CCC(C)N1CN(C)c2c1c(C)c1nsnc1c2C,0.99,276.14,102,3.32
CCOc1cc(NC(C)CC)c2nsnc2c1,1.23,251.11,92,3.3
CCNc1c2c(cc3nsnc13)OCC(C)C2,1.43,249.09,90,2.69
CCCCN1CN(CCC)c2c1cc1nsnc1c2C,1.0,290.16,108,3.79
CCN1c2c(ccc3nsnc23)CCC1C,1.52,233.1,84,2.85
CCNc1cc(OC(C)CC)cc2nsnc12,1.35,251.11,92,3.3
CCCN1CN(CC(C)C)c2cc3nsnc3cc21,1.12,276.14,102,3.34
Cc1c2c(cc3nsnc13)N(C(C)C)CN2C,1.13,248.11,90,2.62
CC(C)CN1CN(CC(C)C)c2cc3nsnc3cc21,1.1,290.16,108,3.59
CNc1c2c(cc3nsnc13)OC(C)CC2,1.41,235.08,84,2.45
CNc1c(C)c2c(c3nsnc13)CC(C)O2,1.4,235.08,84,2.36
CCc1c2c(c(C)c3nsnc13)N(C(C)C)CN2C,1.22,276.14,102,3.18
CCOCCN1CN(CC)c2cc3nsnc3cc21,1.06,278.12,102,2.33
CCN1CN(CC)c2c1cc1nsnc1c2C,1.09,248.11,90,2.62
CCCNc1c2c(cc3nsnc13)N(C(C)C)CN2C,1.22,291.15,108,3.14
CCCN1CN(CCC)c2cc3nsnc3cc21,1.04,262.13,96,3.1
CCCc1c(C)cc2nsnc2c1NCC,1.44,235.11,86,3.38
CCN1CN(C(C)C)c2c1cc1nsnc1c2C,1.25,262.13,96,3.01
CCCOc1cc(NC(C)C)c2nsnc2c1,1.23,251.11,92,3.3
CCC(C)N1CN(C)c2c1cc1nsnc1c2C,1.04,262.13,96,3.01
CCCCN1CN(C)c2cc3nsnc3cc21,1.11,248.11,90,2.71
CCN1c2cc3nsnc3cc2N(C)C1OCC(C)C,1.15,292.14,108,2.92
CCCN1CN(C(C)CC)c2cc3nsnc3cc21,1.11,276.14,102,3.48
CCNc1c2c(cc3nsnc13)N(C(C)C)CN2C,1.34,277.14,102,2.75
CCCN1CN(CCC)c2c1cc1nsnc1c2C,1.05,276.14,102,3.4
CCCN1c2cc3nsnc3c(C)c2N(C)C1OC,1.2,278.12,102,2.6
CCOc1c2c(cc3nsnc13)N(C(C)C)CCN2C,1.25,292.14,108,2.75
CNc1c(N(C)C)c(C)cc2nsnc12,1.48,222.09,80,2.11
CCN1CN(C)c2c1c(C)c1nsnc1c2C,1.12,248.11,90,2.54
CCCCN1CN(CC(C)C)c2cc3nsnc3cc21,1.07,290.16,108,3.73
CCN(C)c1cc(OC)cc2nsnc12,1.33,223.08,80,2.16
CC(C)CN1CN(C)c2cc3nsnc3cc21,1.05,248.11,90,2.56
CCCN1CN(C(C)C)c2cc3nsnc3cc21,1.02,262.13,96,3.09
Cc1c2c(cc3nsnc13)N(CC(C)C)CN2C,1.11,262.13,96,2.87
