,SMILES,ERed
157,CCCc1c2c(c(N(C)CC)c3nsnc13)OCC(CC)O2,1.4
158,CC(C)OCCC1COc2cc3nsnc3cc2O1,1.59
159,CCOc1cc(NC)c2nsnc2c1NC,1.4
160,COc1cc2nsnc2c2c1OCCN2,1.37
161,CCC1Oc2c(cc3nsnc3c2C(C)C)OC1C,1.44
162,CCc1c2c(c(C(C)CC)c3nsnc13)N(C)CN2C,1.1
163,CCC1Oc2cc3nsnc3c(N(CC)CC)c2OC1CC,1.49
164,CC(C)c1c2c(cc3nsnc13)N(CCN(C)C)CCN2C,1.51
165,COCCc1cc2nsnc2cc1N(C)C,1.55
166,CCN1c2cc3nsnc3c(OC)c2N(C)C1OC(C)C,1.16
167,CCC(C)N1CN(C)c2c1cc1nsnc1c2C,1.04
168,CCC/C([O-])=[NH+]\c1c2c(c(C)c3nsnc13)OCCO2,1.57
169,CCCCOc1c2c(cc3nsnc13)N(C)CCN2CC,1.26
170,CCCN1CN(CCC)c2c1cc1nsnc1c2OC,1.13
171,CCCOc1c2c(c(CC)c3nsnc13)N(C)CN2C,1.17
172,CCc1c2c(cc3nsnc13)N(C)C(OC(C)C)N2C,1.14
173,CCc1c2c(c(OCCN(C)C)c3nsnc13)OCCO2,1.49
174,CCOCCN1CN(CC(C)C)c2cc3nsnc3cc21,1.06
175,CCCCOCCc1c2c(cc3nsnc13)C1CCC2CC1,1.64
176,CNc1cc2c(c3nsnc13)CCCCO2,1.32
177,CCC(C)OCCC1COc2cc3nsnc3cc2O1,1.6
178,CCc1c2c(c(C)c3nsnc13)N(C(C)CC)CN2C,1.06
179,CCCCc1c2c(cc3nsnc13)N(CC)CN2CCCC,1.1
180,C/C([O-])=[NH+]\c1c2c(c(C(C)C)c3nsnc13)OCCO2,1.59
181,CCN1CN(CC(C)C)c2c1cc1nsnc1c2OC,1.1
182,CCC1Cc2ccc3nsnc3c2[NH+]=C1[O-],1.75
183,CCCOCCN1CN(C)c2c1cc1nsnc1c2OC,1.22
184,CCN(C)c1c2c(cc3nsnc13)N(CCOC)CN2C,1.07
185,CCCN1CN(C)c2c1cc1nsnc1c2NC,1.27
186,CC(C)c1c2c(cc3nsnc13)N(C)CCN2C(C)C,1.2
187,CCc1c2c(c(OC(C)CC)c3nsnc13)N(C)CCN2C,1.53
188,CCCN1CN(CC)c2cc3nsnc3c(CC(C)C)c21,1.03
189,CCC(C)c1c2c(c(N(CC)CC)c3nsnc13)OCCO2,1.23
190,CCCC1COc2cc3nsnc3c(CCOC)c2O1,1.48
191,Cc1ccc(C(C)C)c2nsnc12,1.53
192,CC1CCc2cc(N(C)C)c3nsnc3c21,1.35
193,CCC1COc2cc3nsnc3c(C)c21,1.52
194,CCC1COc2cc(NC)c3nsnc3c21,1.39
195,Cc1c2c(cc3nsnc13)OC(CCN(C)C)CO2,1.4
196,CCCCc1c2c(cc3nsnc13)N(C)CN2C(C)CC,1.07
197,COc1c2c(cc3nsnc13)C(C)CO2,1.54
198,CCCN1c2cc3nsnc3cc2N(C)C1OC(C)CC,1.11
199,CCOc1c2c(c(C)c3nsnc13)N(C)CN2C(C)C,1.15
200,CCCCN1CCN(C(C)CC)c2cc3nsnc3cc21,1.05
201,CCCc1c2c(c(OCC)c3nsnc13)C1CCC2CC1,1.69
202,CC(C)Oc1c2c(c(C(C)C)c3nsnc13)OCC(C)O2,1.42
203,CCCc1c2c(c(NCCOC)c3nsnc13)C1CCC2CC1,1.41
204,CCC/C([O-])=[NH+]\c1c2c(cc3nsnc13)OCC(C)O2,1.69
205,CCc1c(N(C)CC(C)C)c(N(C)C)c(OC)c2nsnc12,1.57
206,CCC1Cc2cc3nsnc3cc2CCO1,1.62
207,CCCCc1c2c(c(CC(C)C)c3nsnc13)OCCO2,1.4
208,COCC/C([O-])=[NH+]\c1c2c(cc3nsnc13)N(C)CN2C,1.3
209,CCN(C)c1c(N(CC)CC)c(OC)c2nsnc2c1C,1.39
210,CCN1CN(C)c2cc3nsnc3c(/[N+](=C(\C)[O-])C(C)C)c21,1.25
211,COc1c2c(cc3nsnc13)N(C(C)C)C(OC)N2C,1.17
212,Cc1c2c(c(N(C)C(C)C)c3nsnc13)C1CCC2CC1,1.4
213,CCCN1CN(C(C)C)c2cc3nsnc3c(OC)c21,1.11
214,CCCc1c(N)c(N)c(OC)c2nsnc12,1.29
215,CCC(C)C1Oc2c(cc3nsnc3c2C(C)C)OC1CC,1.48
216,CCN(C)c1c2c(c(OC(C)=O)c3nsnc13)OCCO2,1.57
217,Cc1ccc(N(C)CC(C)C)c2nsnc12,1.44
218,CCN1CN(CC)c2c1cc1nsnc1c2NC,1.21
219,CCCOCCc1c2c(c(C)c3nsnc13)OCCO2,1.43
220,COCCOc1cc2nsnc2cc1OC,1.55
221,COCCN(C)c1c2c(cc3nsnc13)C1CCC2C1,1.46
222,CNc1c2c(c(N(C)CC(C)C)c3nsnc13)C1CCC2CC1,1.36
223,CC(C)C/C([O-])=[NH+]\c1c2c(cc3nsnc13)OC(C)CO2,1.78
224,COc1c2c(cc3nsnc13)N(C)C(OCC(C)C)N2C,1.19
